aib_name,aib_Administrative,aib_Administrative_Duration,aib_Informational,aib_Informational_Duration,aib_ProductRelated,aib_ProductRelated_Duration,aib_BounceRates,aib_ExitRates,aib_PageValues,aib_SpecialDay,aib_Month,aib_OperatingSystems,aib_Browser,aib_Region,aib_TrafficType,aib_VisitorType,aib_Weekend,aib_Revenue
Customer1,1,0,2,211.25,144,4627.489571,0.001360544,0.020664031,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,
Customer2,7,150.3571429,1,9,221,11431.00124,0.011148992,0.021904109,1.582473154,0,Nov,2,5,1,2,Returning_Visitor,TRUE,
Customer3,3,16,3,86,15,2773.5,0,0.03,78.81172527,0,Dec,2,2,1,2,Returning_Visitor,FALSE,
Customer4,0,0,0,0,7,705.8333333,0.028571429,0.085714286,0,0,Dec,5,11,4,1,Returning_Visitor,TRUE,
Customer5,0,0,0,0,7,212.5,0,0.033333333,0,0,Nov,3,2,1,11,Returning_Visitor,TRUE,
Customer6,0,0,0,0,44,615,0.013636364,0.036363636,0,0,Dec,4,1,3,1,Returning_Visitor,FALSE,
Customer7,3,100.5,0,0,95,1453.640882,0.002105263,0.012761333,0,0,Dec,2,2,3,2,New_Visitor,FALSE,
Customer8,0,0,0,0,6,279,0,0.033333333,0,0,Dec,1,2,3,10,Returning_Visitor,TRUE,
Customer9,0,0,0,0,21,1128.583333,0,0.013043478,3.685400817,0,Dec,2,2,1,2,Returning_Visitor,FALSE,
Customer10,0,0,0,0,8,143.5833333,0.014285714,0.05,0,0,Nov,2,2,3,1,Returning_Visitor,FALSE,
Customer11,7,191.2,4,654.3333333,31,1204.600433,0.000854701,0.013342491,11.92009615,0,Mar,2,2,7,2,Returning_Visitor,FALSE,
Customer12,2,47,0,0,39,1743.366667,0,0.016410256,78.93483561,0,Mar,3,3,2,1,Returning_Visitor,FALSE,
Customer13,0,0,0,0,10,236,0,0.026666667,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,
Customer14,4,724,0,0,2,159,0,0.008,0,0,Mar,4,2,1,7,New_Visitor,FALSE,
Customer15,0,0,0,0,2,24,0,0.1,0,0,Mar,2,6,1,2,Returning_Visitor,FALSE,
Customer16,8,237.5,4,142,30,1569.625,0,0.008108108,15.88906362,0,Mar,1,2,1,9,Returning_Visitor,TRUE,
Customer17,3,66.33333333,0,0,15,424.8333333,0,0.0125,0,0,Mar,2,2,6,6,Returning_Visitor,FALSE,
Customer18,3,227,0,0,2,62,0,0.025,0,0,Mar,3,2,1,10,Returning_Visitor,TRUE,
Customer19,1,23,0,0,15,656.25,0.028571429,0.028571429,0,0,Mar,1,1,8,2,Returning_Visitor,TRUE,
Customer20,0,0,0,0,29,617.5,0.006896552,0.01954023,0,0,Mar,2,2,3,10,Returning_Visitor,FALSE,
Customer21,0,0,2,39,15,245,0,0.0125,11.9955404,0,Mar,2,2,1,3,Returning_Visitor,TRUE,
Customer22,0,0,0,0,3,20,0,0.066666667,0,0,Mar,2,2,2,1,Returning_Visitor,TRUE,
Customer23,0,0,0,0,38,1372,0.005405405,0.018918919,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,
Customer24,2,41,0,0,7,139,0.022222222,0.055555556,0,0,Mar,2,5,6,2,Returning_Visitor,TRUE,
Customer25,4,74,2,629,149,5042.458059,0.003870968,0.007285123,18.36804916,0,Mar,2,2,1,2,Returning_Visitor,FALSE,
Customer26,0,0,0,0,36,1166.72619,0,0.025,4.599,0,Mar,1,1,1,3,Returning_Visitor,TRUE,
Customer27,2,11.92307692,2,139,80,4099.737392,0.004117063,0.005279668,16.88069613,0,Mar,3,2,1,2,Returning_Visitor,TRUE,
Customer28,1,0,0,0,4,31,0,0.05,0,0,Mar,2,2,2,10,Returning_Visitor,TRUE,
Customer29,10,1005.666667,0,0,36,2111.341667,0.004347826,0.014492754,11.43941195,0,Feb,2,6,1,2,Returning_Visitor,FALSE,
Customer30,3,33.46666667,0,0,113,1576.252222,0.003508772,0.009314954,40.08238165,0,June,2,2,7,3,Returning_Visitor,FALSE,FALSE
Customer31,0,0,0,0,4,570.2,0,0.05,0,0,Jul,2,2,9,1,Returning_Visitor,FALSE,FALSE
Customer32,8,335.875,2,75.25,18,1494.125,0,0.022,12.60913229,0,Nov,2,2,9,10,Returning_Visitor,FALSE,TRUE
Customer33,0,0,0,0,6,56,0.04,0.08,0,0,May,3,2,3,1,Returning_Visitor,TRUE,FALSE
Customer34,2,5,0,0,3,20,0.053333333,0.078333333,0,0.8,May,1,1,1,4,Returning_Visitor,FALSE,FALSE
Customer35,1,146,0,0,7,221.4,0.025,0.0225,0,0,Nov,1,1,4,3,Returning_Visitor,FALSE,FALSE
